C V1.8   03 FEV 2003    © COPYRIGHT CORREIOS DO BRASIL       TIPOS DE LOGRADOURO               
D685685VIA LITORANEA                                                           V LIT           
D666666VIA LOCAL                                                               V LOCAL         
D103103VIADUTO                                                                 VD              
D105105VIELA                                                                   VLA             
D104104VILA                                                                    VL              
D108108ZIGUE-ZAGUE                                                             ZIG-ZAG         
D5235231O ALTO                                                                 1O AT           
D6556551A AVENIDA                                                              1A AV           
D5285281O BECO                                                                 1O BC           
D5335331A PARALELA                                                             1A PAR          
D5495491O PARQUE                                                               1O PRQ          
D5525521A RUA                                                                  1A R            
D5385381A SUBIDA                                                               1A SUB          
D5075071A TRAVESSA                                                             1A TV           
D5445441A VILA                                                                 1A VL           
D56156110A RUA                                                                 10A R           
D51651610A TRAVESSA                                                            10A TV          
D56256211A RUA                                                                 11A R           
D51751711A TRAVESSA                                                            11A TV          
D56356312A RUA                                                                 12A R           
D51851812A TRAVESSA                                                            12A TV          
D51951913A TRAVESSA                                                            13A TV          
D52052014A TRAVESSA                                                            14A TV          
D52152115A TRAVESSA                                                            15A TV          
D52252216A TRAVESSA                                                            16A TV          
D65965918A TRAVESSA                                                            18A TV          
D66066019A TRAVESSA                                                            19A TV          
D5245242O ALTO                                                                 2O AT           
D6566562A AVENIDA                                                              2A AV           
D5295292O BECO                                                                 2O BC           
D5345342A PARALELA                                                             2A PAR          
D5505502O PARQUE                                                               2O PRQ          
D5535532A RUA                                                                  2A R            
D5395392A SUBIDA                                                               2A SUB          
D5085082A TRAVESSA                                                             2A TV           
D5455452A VILA                                                                 2A VL           
D5255253O ALTO                                                                 3O AT           
D6576573A AVENIDA                                                              3A AV           
D5305303O BECO                                                                 3O BC           
D5355353A PARALELA                                                             3A PAR          
D5515513O PARQUE                                                               3O PRQ          
D5545543A RUA                                                                  3A R            
D5405403A SUBIDA                                                               3A SUB          
D5095093A TRAVESSA                                                             3A TV           
D5465463A VILA                                                                 3A VL           
D5265264O ALTO                                                                 4O AT           
D6586584A AVENIDA                                                              4A AV           
D5315314O BECO                                                                 4O BC           
D5365364A PARALELA                                                             4A PAR          
D5565564A RUA                                                                  4A R            
D5415414A SUBIDA                                                               4A SUB          
D5105104A TRAVESSA                                                             4A TV           
D5475474A VILA                                                                 4A VL           
D5275275O ALTO                                                                 5O AT           
D6616615A AVENIDA                                                              5A AV           
D5325325O BECO                                                                 5O BC           
D5375375A PARALELA                                                             5A PAR          
D5555555A RUA                                                                  5A R            
D5425425A SUBIDA                                                               5A SUB          
D5115115A TRAVESSA                                                             5A TV           
D5485485A VILA                                                                 5A VL           
